Rank,Title,Year,Rating
194,194. Memories of Murder, (255K),8.1
195,195. Spider-Man: No Way Home, (987K),8.2
196,196. Ratatouille, (916K),8.1
197,197. How to Train Your Dragon, (873K),8.1
198,198. Gone Girl, (1.1M),8.1
199,"199. Monsters, Inc.", (1.1M),8.1
200,200. Jaws, (723K),8.1
201,201. In the Name of the Father, (200K),8.1
202,202. Ford v Ferrari, (549K),8.1
203,203. Wild Tales, (234K),8.1
204,204. The Gold Rush, (127K),8.1
205,205. Sherlock Jr., (64K),8.1
206,206. Mary and Max, (199K),8.1
207,207. The Deer Hunter, (382K),8.1
208,208. The Wages of Fear, (72K),8.1
209,209. The General, (105K),8.1
210,210. Logan, (909K),8.1
211,211. Mr. Smith Goes to Washington, (128K),8.1
212,212. On the Waterfront, (176K),8.1
213,213. Rocky, (676K),8.1
214,214. Tokyo Story, (76K),8.1
215,215. Wild Strawberries, (123K),8.1
216,216. Pirates of the Caribbean: The Curse of the Black Pearl, (1.3M),8.1
217,217. The Third Man, (193K),8.1
218,218. Maharaja, (77K),8.3
219,219. Spotlight, (528K),8.1
220,220. La haine, (219K),8.1
221,221. Jai Bhim, (231K),8.6
222,222. The Terminator, (985K),8.1
223,223. The Big Lebowski, (905K),8.1
224,224. The Seventh Seal, (213K),8.1
225,225. The Sound of Music, (285K),8.1
226,226. Room, (475K),8.1
227,227. The Best Years of Our Lives, (76K),8.1
228,228. Hotel Rwanda, (388K),8.1
229,229. Platoon, (464K),8.1
230,230. A Silent Voice: The Movie, (131K),8.2
231,231. Before Sunset, (309K),8.1
232,232. The Incredibles, (880K),8.0
233,233. The Exorcist, (490K),8.1
234,234. Hachi: A Dog's Tale, (336K),8.1
235,235. Rush, (549K),8.1
236,236. The Wizard of Oz, (459K),8.1
237,237. The Passion of Joan of Arc, (67K),8.1
238,238. Stand by Me, (476K),8.1
239,239. The Iron Giant, (253K),8.1
240,240. My Father and My Son, (99K),8.2
241,241. The Battle of Algiers, (74K),8.1
242,242. The Handmaiden, (196K),8.1
243,243. Network, (183K),8.1
244,244. Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train, (95K),8.2
245,245. Gangs of Wasseypur, (112K),8.2
246,246. The Grapes of Wrath, (107K),8.1
247,247. Drishyam, (105K),8.2
248,248. To Be or Not to Be, (49K),8.1
249,249. Autumn Sonata, (41K),8.1
250,250. Andhadhun, (113K),8.2
